id;code;category;name;family;detail_1;detail_2;price;create_at;modify_at
1;Steel;Assistant;cross-platform Principal;wireless Computer;reboot magenta THX;THX;93728;2021-08-27T23:09:51;2021-08-28T08:21:38
2;Metal;models partnerships Infrastructure;transmitting New Bedfordshire;Malagasy intranet;neutral;Bike;78661;2021-08-28T05:48:11;2021-08-28T07:06:04
3;CFP orange;Village;distributed indigo JSON;Personal Steel;solutions;Prairie;14557;2021-08-27T18:37:59;2021-08-27T13:05:03
4;Liaison;Shoes;Ball pixel;Account;Cheese Consultant online;project hacking efficient;50702;2021-08-27T14:36:35;2021-08-27T11:09:19
5;metrics;lavender application grey;up;systems Gorgeous;Brand;Plastic Cambridgeshire;16025;2021-08-28T09:12:24;2021-08-27T11:47:14
6;Ukraine;Chicken Account transmit;clicks-and-mortar;IB;Algeria Rustic;Taka;90493;2021-08-28T01:43:17;2021-08-27T14:30:38
7;Practical Solutions Tuvalu;Square Checking Coordinator;Product;Administrator CFA;Colombian B2C;bypassing Gateway Virtual;94512;2021-08-27T15:25:52;2021-08-27T23:33:45
8;Account Concrete;Soft;deposit clear-thinking focus;Loan;Small Congo Engineer;Account portals Berkshire;36836;2021-08-28T06:31:02;2021-08-28T05:33:08
9;Concrete Account Account;Functionality Small adapter;Gloves;hack back-end application;USB Future;Venezuela JBOD;3769;2021-08-28T04:52:06;2021-08-28T05:15:32
10;Web;Facilitator Nebraska;circuit Regional JBOD;Directives;Guinea-Bissau SCSI;Serbia;58356;2021-08-28T00:02:04;2021-08-27T23:14:29
