id;promotion_description;promorion_formular;expire_at;create_at;modify_at
1;seize Grocery;transmitting leverage Bacon;2021-08-27T19:42:15;2021-08-28T09:43:47;2021-08-27T23:08:17
2;hack COM;Pataca;2021-08-28T00:29:06;2021-08-28T07:31:22;2021-08-27T10:46:21
3;Home;Soft;2021-08-28T05:50:25;2021-08-28T02:15:19;2021-08-27T15:28:14
4;Internal matrices;Steel;2021-08-27T11:37:43;2021-08-28T08:53:13;2021-08-27T11:48:31
5;Chief Credit;seize card high-level;2021-08-27T20:59:37;2021-08-27T20:34:08;2021-08-27T23:54:05
6;Refined deposit;reboot Gorgeous;2021-08-27T13:18:39;2021-08-27T21:26:08;2021-08-27T10:56:07
7;Tuna e-tailers;District Wisconsin transmit;2021-08-27T17:31:55;2021-08-28T01:42:00;2021-08-27T10:36:50
8;Chicken;alliance deposit transmitting;2021-08-28T08:46:48;2021-08-27T10:47:21;2021-08-27T23:42:35
9;target;Account Sleek;2021-08-28T03:59:45;2021-08-28T01:07:41;2021-08-28T08:31:11
10;neural;Ergonomic New;2021-08-27T18:56:45;2021-08-28T02:39:34;2021-08-27T20:43:32
